issuer_name,symbol,issuer_type,periods_seen,fact_rows,extracted_plus_derived,source_extracted,validation_passed,validation_failed,source_page_present,source_page_missing,balance_identity_checks,balance_identity_failures,precheck_verdict,flags
ABANS ELECTRICALS PLC,ABAN.N0000,GENERAL,3,45,24,18,18,0,18,0,3,0,AI_QA_PRECHECK_PASS,
ABANS FINANCE PLC,AFSL.N0000,FINANCE_COMPANY,3,45,12,12,12,0,12,0,0,0,AI_QA_REVIEW,NON_CURRENT_OR_UNKNOWN_ROLE
ACCESS ENGINEERING PLC,AEL.N0000,GENERAL,3,45,42,30,30,0,30,0,3,0,AI_QA_PRECHECK_PASS,
ACL CABLES PLC,ACL.N0000,GENERAL,3,45,42,30,30,0,30,0,3,0,AI_QA_PRECHECK_PASS,
ACL PLASTICS PLC,APLA.N0000,GENERAL,3,45,28,22,22,0,22,0,3,0,AI_QA_PRECHECK_PASS,
ACME PRINTING & PACKAGING PLC,ACME.N0000,GENERAL,3,45,28,22,22,0,22,0,1,0,AI_QA_PRECHECK_PASS,
AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,GENERAL,3,45,38,26,26,0,26,0,3,0,AI_QA_PRECHECK_PASS,
AGARAPATANA PLANTATIONS PLC,AGPL.N0000,GENERAL,3,45,32,23,23,0,23,0,0,0,AI_QA_PRECHECK_PASS,
AGSTAR PLC,AGST.N0000;AGST.X0000,GENERAL,3,45,42,30,30,0,30,0,3,0,AI_QA_PRECHECK_PASS,
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,GENERAL,3,45,42,30,30,0,30,0,3,0,AI_QA_PRECHECK_PASS,
AITKEN SPENCE PLC,SPEN.N0000,GENERAL,3,45,39,30,30,0,30,0,0,0,AI_QA_PRECHECK_PASS,
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,FINANCE_COMPANY,3,45,17,14,14,0,14,0,0,0,AI_QA_PRECHECK_PASS,
ALPHA FIRE SERVICES PLC,AFS.N0000,GENERAL,3,45,42,30,30,0,30,0,3,0,AI_QA_REVIEW,NON_CURRENT_OR_UNKNOWN_ROLE
ALUMEX PLC,ALUM.N0000,GENERAL,3,45,45,33,33,0,33,0,3,0,AI_QA_PRECHECK_PASS,
AMANA BANK PLC,ABL.N0000,BANK,3,45,45,33,33,0,33,0,3,0,AI_QA_PRECHECK_PASS,
AMANA TAKAFUL LIFE PLC,ATLL.N0000,INSURANCE,3,45,35,26,26,0,26,0,3,0,AI_QA_PRECHECK_PASS,
AMANA TAKAFUL PLC,ATL.N0000,INSURANCE,3,45,40,28,28,0,28,0,3,0,AI_QA_REVIEW,NON_CURRENT_OR_UNKNOWN_ROLE
AMBEON CAPITAL PLC,TAP.N0000,GENERAL,3,45,33,26,26,0,26,0,0,0,AI_QA_PRECHECK_PASS,
AMBEON HOLDINGS PLC,GREG.N0000,GENERAL,3,45,39,30,30,0,30,0,0,0,AI_QA_PRECHECK_PASS,
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,FINANCE_COMPANY,3,45,39,27,27,0,27,0,3,0,AI_QA_PRECHECK_PASS,
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,GENERAL,3,45,12,12,12,0,12,0,0,0,AI_QA_PRECHECK_PASS,
ARPICO INSURANCE PLC,AINS.N0000,INSURANCE,3,45,42,30,30,0,30,0,3,0,AI_QA_PRECHECK_PASS,
ASIA ASSET FINANCE PLC,AAF.N0000,FINANCE_COMPANY,3,45,45,33,33,0,33,0,3,0,AI_QA_PRECHECK_PASS,
ASIA CAPITAL PLC,ACAP.N0000,GENERAL,3,45,35,26,26,0,26,0,3,0,AI_QA_PRECHECK_PASS,
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,GENERAL,3,45,25,19,19,0,19,0,3,0,AI_QA_PRECHECK_PASS,
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,GENERAL,3,45,43,31,31,0,31,0,3,0,AI_QA_PRECHECK_PASS,
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,GENERAL,3,45,33,24,24,0,24,0,0,0,AI_QA_PRECHECK_PASS,
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,GENERAL,3,45,33,24,24,0,24,0,0,0,AI_QA_PRECHECK_PASS,
B P P L HOLDINGS PLC,BPPL.N0000,GENERAL,3,45,36,27,27,0,27,0,3,0,AI_QA_PRECHECK_PASS,
BAIRAHA FARMS PLC,BFL.N0000,GENERAL,3,45,30,21,21,0,21,0,0,0,AI_QA_PRECHECK_PASS,
BALANGODA  PLANTATIONS  PLC,BALA.N0000,GENERAL,3,45,26,20,20,0,20,0,3,0,AI_QA_PRECHECK_PASS,
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,GENERAL,3,45,39,27,27,0,27,0,3,0,AI_QA_PRECHECK_PASS,
BERUWALA RESORTS PLC,BERU.N0000,GENERAL,3,45,31,24,24,0,24,0,0,0,AI_QA_PRECHECK_PASS,
BIMPUTH LANKA INVESTMENTS PLC,BLI.N0000,GENERAL,0,0,0,0,0,0,0,0,0,0,AI_QA_REVIEW,NO_FACT_ROWS_OR_QUARANTINED
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000;BLUE.X0000,GENERAL,3,45,23,17,17,0,17,0,0,0,AI_QA_PRECHECK_PASS,
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,GENERAL,3,45,17,15,15,0,15,0,0,0,AI_QA_PRECHECK_PASS,
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,GENERAL,3,45,33,24,24,0,24,0,0,0,AI_QA_PRECHECK_PASS,
BROWN & COMPANY PLC,BRWN.N0000,GENERAL,3,45,9,9,9,0,9,0,0,0,AI_QA_PRECHECK_PASS,
BROWNS BEACH HOTELS PLC,BBH.N0000,GENERAL,2,30,24,18,18,0,18,0,2,0,AI_QA_PRECHECK_PASS,
BROWNS INVESTMENTS PLC,BIL.N0000,GENERAL,3,45,37,30,30,0,30,0,0,0,AI_QA_PRECHECK_PASS,
