Scope,Issuer,Symbol,Period,Type,Reason,Required Action
100_BENCHMARK,AMANA TAKAFUL PLC,ATL.N0000,2026-06-30,INSURANCE,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
100_BENCHMARK,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,2026-06-30,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
100_BENCHMARK,JANASHAKTHI INSURANCE PLC,JINS.N0000,2025-12-31,INSURANCE,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
100_BENCHMARK,LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,2025-12-31,FINANCE_COMPANY,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
100_BENCHMARK,UNION ASSURANCE PLC,UAL.N0000,2026-03-31,INSURANCE,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,ABANS FINANCE PLC,AFSL.N0000,,FINANCE_COMPANY,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,ALPHA FIRE SERVICES PLC,AFS.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,AMANA TAKAFUL PLC,ATL.N0000,,INSURANCE,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,BIMPUTH LANKA INVESTMENTS PLC,BLI.N0000,,GENERAL,NO_FACT_ROWS_OR_QUARANTINED,TARGETED_SOURCE_REVIEW
281_UNIVERSE,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,,GENERAL,NO_FACT_ROWS_OR_QUARANTINED,TARGETED_SOURCE_REVIEW
281_UNIVERSE,DOLPHIN HOTELS PLC,STAF.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,E M L CONSULTANTS PLC,EML.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,HIKKADUWA BEACH RESORT PLC,CITH.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,JANASHAKTHI INSURANCE PLC,JINS.N0000,,INSURANCE,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,JETWING SYMPHONY PLC,JETS.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,,FINANCE_COMPANY,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,MAHARAJA FOODS PLC,MFPE.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,RAMBODA FALLS PLC,RFL.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,RICHARD PIERIS EXPORTS PLC,REXP.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,SATHOSA MOTORS PLC,SMOT.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,UNION ASSURANCE PLC,UAL.N0000,,INSURANCE,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
281_UNIVERSE,UNION CHEMICALS LANKA PLC,UCAR.N0000,,GENERAL,NO_FACT_ROWS_OR_QUARANTINED,TARGETED_SOURCE_REVIEW
281_UNIVERSE,WASKADUWA BEACH RESORT PLC,CITW.N0000,,GENERAL,NON_CURRENT_OR_UNKNOWN_ROLE,TARGETED_SOURCE_REVIEW
