comparison_role,duration_months,engine,entity_scope,issuer_dir,metric_code,normalized_value,pdf_sha256,period_end,publication_status,raw_text,symbol
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,TOP_LINE,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,1968600239,ABAN.N0000
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,OPERATING_PROFIT,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,136459609,ABAN.N0000
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,PBT,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,153189165,ABAN.N0000
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,PAT,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,107711136,ABAN.N0000
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,EPS_BASIC,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,21.08,ABAN.N0000
UNKNOWN,,v1,COMPANY,ABANS_ELECTRICALS_PLC,EPS_DILUTED,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,,ABAN.N0000
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,TOTAL_ASSETS,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,5965657842,ABAN.N0000
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,TOTAL_EQUITY,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,3352060611,ABAN.N0000
CURRENT,,v1,COMPANY,ABANS_ELECTRICALS_PLC,TOTAL_LIABILITIES,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,2613597231,ABAN.N0000
UNKNOWN,,v1,COMPANY,ABANS_ELECTRICALS_PLC,NAVPS,,30ba31866c2db834bc519fe774edf2dffaaaf4b05f7fe3625c98dc3b3cb54997,2026-03-31,V1_EXTRACTED,655.91,ABAN.N0000
